timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:08:34.072428,0.2,0.0,0,Abnormal,42.6,0.0,0,68,0.0,8.0,13.0,218.4,0.06,4,4,44.8,Abnormal,0,0.0,0.0,0,0.0,26.6,1.6,0.0,0,-1449,State 0,0,1,0,0,,,0
2026-06-12T17:08:37.072858,0.0,0.0,0,Abnormal,42.6,0.0,0,32,0.0,0.8,26.0,218.4,0.06,30,10,6.4,Abnormal,0,0.0,0.0,0,0.0,27.5,27.2,0.0,0,31445,PV shutdown,0,0,0,0,,,0
2026-06-12T17:08:40.072494,0.0,0.0,0,Abnormal,25.0,0.0,0,32,51.2,59.2,38.6,212.7,0.05,36,32,48.68,Abnormal,0,0.0,0.0,0,0.0,26.8,0.2,0.0,0,24405,State 0,0,1,0,0,,,0
2026-06-12T17:08:43.072719,0.2,0.0,0,Abnormal,25.0,0.0,0,68,51.2,8.0,26.2,212.7,0.05,34,34,44.84,Abnormal,0,0.0,0.0,0,0.0,0.8,0.2,0.0,0,21886,PV fault,0,0,0,0,,,0
2026-06-12T17:08:46.072847,0.2,0.0,0,Abnormal,34.0,0.0,0,32,0.0,7.2,26.0,225.6,0.37,5,37,47.4,Normal,0,0.0,0.0,0,0.0,27.6,0.0,0.0,0,30293,PV fault,0,0,0,0,,,0
2026-06-12T17:08:49.072628,0.0,0.0,0,Abnormal,25.4,0.0,0,68,0.0,8.8,26.2,224.8,0.37,25,17,47.41,Normal,0,0.0,0.0,0,0.0,3.0,2.0,0.0,0,21930,PV fault,0,0,0,0,,,0
2026-06-12T17:08:52.072748,0.0,0.0,0,Abnormal,25.4,0.0,0,100,51.2,8.8,0.4,224.8,0.37,25,17,47.41,Normal,0,0.0,0.0,0,0.0,25.6,2.0,0.0,0,21930,PV fault,0,0,0,0,,,0
2026-06-12T17:08:55.072769,0.0,0.0,0,Abnormal,25.4,0.0,0,96,0.0,8.8,26.2,224.8,0.37,1,40,43.56,Abnormal,0,0.0,0.0,0,0.0,28.8,25.6,0.0,0,22485,PV fault,0,1,0,0,,,0
2026-06-12T17:08:58.072967,0.0,0.0,0,Abnormal,18.8,0.0,0,96,0.0,8.8,26.2,7.6,0.06,35,34,48.69,Normal,0,0.0,0.0,0,0.0,25.7,27.6,0.0,0,22485,PV fault,0,0,0,0,,,0
2026-06-12T17:09:01.073132,0.0,0.0,0,Abnormal,50.6,0.0,0,68,0.0,8.8,0.6,225.2,0.04,35,34,48.69,Normal,0,0.0,0.0,0,0.0,3.4,25.6,0.0,0,24042,PV fault,0,1,0,0,,,0
